"","year","lwr_nrw","lwr","upr_nrw","upr","med","param_set","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1"
"121",5,0.000554754041158921,8.51828779985507e-17,0.999999999893688,1,0.999586037718547,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"122",6,0.00133408811098658,1.2593760729276e-16,0.999999999967997,1,0.99989180236267,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"123",7,0.000374481259166444,3.43025975218006e-17,0.999999999937828,1,0.99964855225585,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"124",8,0.00124930467557722,5.73998337575843e-17,0.999999999985409,1,0.999929934488124,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"125",9,0.000288730428443755,1.17233848471437e-17,0.99999999996663,1,0.999749115274419,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"126",10,0.000830679768880706,2.13726858147694e-17,0.999999999991181,1,0.999934851485098,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"127",2,0.0109523966792827,4.7044397643121e-15,0.999999999990954,1,0.99996695361467,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"128",3,0.0200013317338269,5.58270143153329e-15,0.999999999998346,1,0.999992666697372,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"129",4,0.0397114849952328,3.68954600229466e-15,0.99999999999929,1,0.999997233401167,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"130",5,0.0207021682531941,1.64230596631239e-15,0.999999999999516,1,0.999997417209171,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"131",6,0.0347347347465539,1.57415741159614e-15,0.999999999999739,1,0.99999863603795,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"132",7,0.0149105431719573,7.03400717099082e-16,0.999999999999758,1,0.999998111737205,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"133",8,0.035034243294704,6.31289144392939e-16,0.999999999999881,1,0.999999196126877,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"134",9,0.0140770409430144,2.89151489071141e-16,0.999999999999898,1,0.999998865952707,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"135",10,0.0264809125943471,2.63098059519919e-16,0.999999999999939,1,0.999999386183304,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"136",2,0.0001662757491993,8.72528314546662e-17,0.999999999492371,1,0.998534982542364,16,0.07421875,0.64453125,0.47265625,0.62890625,0.27734375,0.48046875,0.02734375,0.92578125
"137",3,0.000672982517952717,1.32714980924431e-16,0.999999999884333,1,0.999620455213533,16,0.07421875,0.64453125,0.47265625,0.62890625,0.27734375,0.48046875,0.02734375,0.92578125
"138",4,0.0011317697973102,1.12924643934504e-16,0.999999999936977,1,0.999829207227294,16,0.07421875,0.64453125,0.47265625,0.62890625,0.27734375,0.48046875,0.02734375,0.92578125
"139",5,0.000694594858081253,4.15560925449447e-17,0.999999999949884,1,0.999846809190275,16,0.07421875,0.64453125,0.47265625,0.62890625,0.27734375,0.48046875,0.02734375,0.92578125
"140",6,0.000812884292143152,3.58218023404894e-17,0.999999999972572,1,0.9999084077462,16,0.07421875,0.64453125,0.47265625,0.62890625,0.27734375,0.48046875,0.02734375,0.92578125
"141",7,0.000536764130310146,2.11800122769539e-17,0.999999999974889,1,0.999882939443214,16,0.07421875,0.64453125,0.47265625,0.62890625,0.27734375,0.48046875,0.02734375,0.92578125
